code,name
0,REGULAR
1,FORM_T
2,OUT_OF_SEQ
3,AVG_PRC
4,AVG_PRC_NASDAQ
5,OPEN_REPORT_LATE
6,OPEN_REPORT_OUT_OF_SEQ
7,OPEN_REPORT_IN_SEQ
8,PRIOR_REFERENCE_PRICE
9,NEXT_DAY_SALE
10,BUNCHED
11,CASH_SALE
12,SELLER
13,SOLD_LAST
14,RULE_127
15,BUNCHED_SOLD
16,NON_BOARD_LOT
17,POSIT
18,AUTO_EXECUTION
19,HALT
20,DELAYED
21,REOPEN
22,ACQUISITION
23,CASH_MARKET
24,NEXT_DAY_MARKET
25,BURST_BASKET
26,OPEN_DETAIL
27,INTRA_DETAIL
28,BASKET_ON_CLOSE
29,RULE_155
30,DISTRIBUTION
31,SPLIT
32,REGULAR_SETTLE
33,CUSTOM_BASKET_CROSS
34,ADJ_TERMS
35,SPREAD
36,STRADDLE
37,BUY_WRITE
38,COMBO
39,STPD
40,CANC
41,CANC_LAST
42,CANC_OPEN
43,CANC_ONLY
44,CANC_STPD
45,MATCH_CROSS
46,FAST_MARKET
47,NOMINAL
48,CABINET
49,BLANK_PRICE
50,NOT_SPECIFIED
51,MC_OFFICIAL_CLOSE
52,SPECIAL_TERMS
53,CONTINGENT_ORDER
54,INTERNAL_CROSS
55,STOPPED_REGULAR
56,STOPPED_SOLD_LAST
57,STOPPED_OUT_OF_SEQ
58,BASIS
59,VWAP
60,SPECIAL_SESSION
61,NANEX_ADMIN
62,OPEN_REPORT
63,MARKET_ON_CLOSE
64,SETTLE_PRICE
65,OUT_OF_SEQ_PRE_MKT
66,MC_OFFICIAL_OPEN
67,FUTURES_SPREAD
68,OPEN_RANGE
69,CLOSE_RANGE
70,NOMINAL_CABINET
71,CHANGING_TRANS
72,CHANGING_TRANS_CAB
73,NOMINAL_UPDATE
74,PIT_SETTLEMENT
75,BLOCK_TRADE
76,EXG_FOR_PHYSICAL
77,VOLUME_ADJUSTMENT
78,VOLATILITY_TRADE
79,YELLOW_FLAG
80,FLOOR_PRICE
81,OFFICIAL_PRICE
82,UNOFFICIAL_PRICE
83,MID_BID_ASK_PRICE
84,END_SESSION_HIGH
85,END_SESSION_LOW
86,BACKWARDATION
87,CONTANGO
88,HOLIDAY
89,PRE_OPENING
90,POST_FULL
91,POST_RESTRICTED
92,CLOSING_AUCTION
93,BATCH
94,TRADING
95,INTERMARKET_SWEEP
96,DERIVATIVE
97,REOPENING
98,CLOSING
99,CAPELECTION
100,SPOT_SETTLEMENT
101,BASIS_HIGH
102,BASIS_LOW
103,YIELD
104,PRICE_VARIATION
105,CONTINGENT_TRADE
106,STOPPED_IM
107,BENCHMARK
108,TRADE_THRU_EXEMPT
109,IMPLIED
110,OTC
111,MKT_SUPERVISION
112,RESERVED_77
113,RESERVED_91
114,CONTINGENT_UTP
115,ODD_LOT
116,RESERVED_89
117,CORRECTED_CS_LAST
118,OPRA_EXT_HOURS
119,RESERVED_78
120,RESERVED_81
121,RESERVED_84
122,RESERVED_878
123,RESERVED_90
124,QUALIFIED_CONTINGENT_TRADE
125,SINGLE_LEG_AUCTION_NON_ISO
126,SINGLE_LEG_AUCTION_ISO
127,SINGLE_LEG_CROSS_NON_ISO
128,SINGLE_LEG_CROSS_ISO
129,SINGLE_LEG_FLOOR_TRADE
130,MULTI_LEG_AUTOELEC_TRADE
131,MULTI_LEG_AUCTION
132,MULTI_LEG_CROSS
133,MULTI_LEG_FLOOR_TRADE
134,ML_AUTO_ELEC_TRADE_AGSL
135,STOCK_OPTIONS_AUCTION
136,ML_AUCTION_AGSL
137,ML_FLOOR_TRADE_AGSL
138,STK_OPT_AUTO_ELEC_TRADE
139,STOCK_OPTIONS_CROSS
140,STOCK_OPTIONS_FLOOR_TRADE
141,STK_OPT_AE_TRD_AGSL
142,STK_OPT_AUCTION_AGSL
143,STK_OPT_FLOOR_TRADE_AGSL
144,ML_FLOOR_TRADE_OF_PP
145,BID_AGGRESSOR
146,ASK_AGGRESSOR
147,MULTILAT_COMP_TR_PDP
148,EXTENDED_HOURS_TRADE
